Cell ID,Cell Type,Fr,h,modU,vel_0,vel_1,vel_2,vel_Magnitude,z
8356,9,1.00361,1.02687,3.18535,3.18535,0.000846811,0,3.18535,1.435
8357,9,0.992297,1.03745,3.16563,3.16563,5.11163e-05,0,3.16563,1.425
8358,9,1.01384,1.0254,3.21552,3.21552,-0.000506146,0,3.21552,1.415
8359,9,0.997753,1.03927,3.18582,3.18582,-9.17966e-05,0,3.18582,1.405
8360,9,1.00044,1.04031,3.19598,3.19598,-0.000579416,0,3.19598,1.395
8361,9,1.00123,1.04266,3.20214,3.20214,-0.000471952,0,3.20214,1.385
8362,9,1.0158,1.03543,3.23744,3.23744,-0.000308157,0,3.23744,1.375
8363,9,1.00511,1.04563,3.21914,3.21914,-0.000222357,0,3.21914,1.365
8364,9,1.01638,1.04059,3.24737,3.24737,-0.000171659,0,3.24737,1.355
8365,9,1.00816,1.04907,3.2342,3.2342,-0.000146821,0,3.2342,1.345
8366,9,1.0166,1.04593,3.25639,3.25639,-0.000157318,0,3.25639,1.335
8367,9,1.01075,1.0527,3.24812,3.24812,-0.000159261,0,3.24812,1.325
8368,9,1.01676,1.05115,3.26502,3.26502,-0.000140947,0,3.26502,1.315
8369,9,1.01269,1.05661,3.26037,3.26037,-0.000112764,0,3.26037,1.305
8370,9,1.01727,1.05598,3.27414,3.27414,-7.21449e-05,0,3.27414,1.295
8371,9,1.01463,1.06043,3.27252,3.27252,-2.86503e-05,0,3.27252,1.285
8372,9,1.01783,1.06079,3.2834,3.2834,1.58498e-05,0,3.2834,1.275
8373,9,1.01591,1.06481,3.28344,3.28344,4.92514e-05,0,3.28344,1.265
8374,9,1.01887,1.06543,3.29395,3.29395,7.0859e-05,0,3.29395,1.255
8375,9,1.01771,1.06901,3.2957,3.2957,7.40116e-05,0,3.2957,1.245
8376,9,1.01989,1.07023,3.30465,3.30465,6.32517e-05,0,3.30465,1.235
8377,9,1.01935,1.07338,3.30778,3.30778,3.93859e-05,0,3.30778,1.225
8378,9,1.021,1.07497,3.31558,3.31558,1.00445e-05,0,3.31558,1.215
8379,9,1.02197,1.07702,3.3219,3.3219,-2.01264e-05,0,3.3219,1.205
8380,9,1.02346,1.07869,3.32931,3.32931,-4.53908e-05,0,3.32931,1.195
